nameWithOwner,mergedPRs,closedPRs
freeCodeCamp/freeCodeCamp,19578,12997
EbookFoundation/free-programming-books,5610,2656
996icu/996.ICU,1063,867
jwasham/coding-interview-university,363,508
sindresorhus/awesome,609,1239
kamranahmedse/developer-roadmap,1511,714
public-apis/public-apis,1871,939
donnemartin/system-design-primer,196,86
facebook/react,8996,4155
vuejs/vue,1118,1016
codecrafters-io/build-your-own-x,113,84
tensorflow/tensorflow,15867,6743
trekhleb/javascript-algorithms,282,187
getify/You-Dont-Know-JS,356,468
vinta/awesome-python,533,922
CyC2018/CS-Notes,375,165
twbs/bootstrap,8298,6115
ohmyzsh/ohmyzsh,2868,3529
TheAlgorithms/Python,2194,4596
flutter/flutter,30558,12332
torvalds/linux,9,442
github/gitignore,1523,2277
microsoft/vscode,16427,3609
ossu/computer-science,239,156
jlevy/the-art-of-command-line,313,139
jackfrued/Python-100-Days,12,121
airbnb/javascript,792,565
Snailclimb/JavaGuide,784,258
awesome-selfhosted/awesome-selfhosted,2147,551
ytdl-org/youtube-dl,1602,2327
labuladong/fucking-algorithm,223,206
30-seconds/30-seconds-of-code,754,729
golang/go,1,2585
facebook/react-native,675,11298
electron/electron,16843,2115
d3/d3,439,675
vercel/next.js,12127,2900
justjavac/free-programming-books-zh_CN,280,146
avelino/awesome-go,2932,1133
axios/axios,731,564
facebook/create-react-app,1942,1782
practical-tutorials/project-based-learning,182,125
kubernetes/kubernetes,54760,18612
trimstray/the-book-of-secret-knowledge,122,73
nodejs/node,6001,23648
huggingface/transformers,9090,2065
mrdoob/three.js,10686,3159
microsoft/TypeScript,12892,2894
microsoft/PowerToys,3879,457
yangshun/tech-interview-handbook,432,67
denoland/deno,8145,1865
goldbergyoni/nodebestpractices,750,141
microsoft/terminal,3126,365
angular/angular,3345,20127
mui/material-ui,15266,3304
ant-design/ant-design,10842,2877
puppeteer/puppeteer,3143,807
PanJiaChen/vue-element-admin,313,159
ryanmcdermott/clean-code-javascript,149,97
Genymobile/scrcpy,66,257
iluwatar/java-design-patterns,1078,546
rust-lang/rust,46849,14461
storybookjs/storybook,8122,2009
animate-css/animate.css,313,454
nvbn/thefuck,478,115
tensorflow/models,2296,1265
gothinkster/realworld,351,193
laravel/laravel,1493,2999
FortAwesome/Font-Awesome,197,437
papers-we-love/papers-we-love,417,80
mtdvio/every-programmer-should-know,98,43
django/django,8079,8480
tonsky/FiraCode,127,49
doocs/advanced-java,75,39
bitcoin/bitcoin,12806,5817
ripienaar/free-for-dev,2154,582
microsoft/Web-Dev-For-Beginners,445,259
vuejs/awesome-vue,3386,350
opencv/opencv,11094,2549
gin-gonic/gin,923,446
tailwindlabs/tailwindcss,1723,437
sveltejs/svelte,2614,666
spring-projects/spring-boot,41,5562
gohugoio/hugo,1931,2322
typicode/json-server,109,159
fatedier/frp,444,209
nvm-sh/nvm,680,278
moby/moby,18196,4650
pytorch/pytorch,5375,59739
neovim/neovim,9516,3601
thedaviddias/Front-End-Checklist,172,120
f/awesome-chatgpt-prompts,103,93
florinpop17/app-ideas,149,125
iptv-org/iptv,5237,555
hakimel/reveal.js,373,547
elastic/elasticsearch,54466,8083
AUTOMATIC1111/stable-diffusion-webui,933,638
webpack/webpack,4245,1705
netdata/netdata,6497,781
pallets/flask,1455,902
apple/swift,41924,5336
tauri-apps/tauri,2957,288
expressjs/express,268,830
godotengine/godot,26780,5248
chartjs/Chart.js,2862,806
coder/code-server,1285,333
resume/resume.github.com,84,86
jaywcjlove/awesome-mac,725,71
home-assistant/core,45171,7386
reduxjs/redux,1593,807
redis/redis,3255,2098
atom/atom,3937,1312
angular/angular.js,789,7134
protocolbuffers/protobuf,4198,2407
josephmisiti/awesome-machine-learning,788,47
socketio/socket.io,415,409
keras-team/keras,2801,3319
jquery/jquery,615,2211
ansible/ansible,36542,12049
h5bp/Front-end-Developer-Interview-Questions,439,194
tiangolo/fastapi,1165,565
mermaid-js/mermaid,1550,269
kelseyhightower/nocode,1,136
shadowsocks/shadowsocks-windows,278,196
lodash/lodash,573,587
nestjs/nest,4959,1456
leonardomso/33-js-concepts,160,53
vitejs/vite,3239,991
grafana/grafana,29859,4535
apache/echarts,1173,346
enaqx/awesome-react,766,335
chrislgarry/Apollo-11,320,102
DopplerHQ/awesome-interview-questions,175,32
Developer-Y/cs-video-courses,126,34
gatsbyjs/gatsby,17706,3699
h5bp/html5-boilerplate,672,897
twitter/the-algorithm,2,286
anuraghazra/github-readme-stats,497,716
lydiahallie/javascript-questions,304,166
scikit-learn/scikit-learn,10516,4202
awesomedata/awesome-public-datasets,188,88
ElemeFE/element,3221,1541
azl397985856/leetcode,252,51
hoppscotch/hoppscotch,1055,755
sindresorhus/awesome-nodejs,395,669
3b1b/manim,562,210
syncthing/syncthing,2303,1407
Semantic-Org/Semantic-UI,356,409
tesseract-ocr/tesseract,1309,198
scutan90/DeepLearning-500-questions,302,32
MunGell/awesome-for-beginners,334,726
azl397985856/leetcode,252,51
hoppscotch/hoppscotch,1055,755
bradtraversy/design-resources-for-developers,835,347
sindresorhus/awesome-nodejs,395,669
3b1b/manim,562,210
syncthing/syncthing,2303,1407
Semantic-Org/Semantic-UI,356,409
tesseract-ocr/tesseract,1309,198
scutan90/DeepLearning-500-questions,302,32
MunGell/awesome-for-beginners,334,726
necolas/normalize.css,56,300
remix-run/react-router,1813,997
microsoft/playwright,10132,1296
psf/requests,1469,829
ionic-team/ionic-framework,4469,1704
supabase/supabase,4556,737
google/material-design-icons,41,109
ageitgey/face_recognition,94,93
ventoy/Ventoy,241,119
prometheus/prometheus,5188,1422
microsoft/ML-For-Beginners,338,68
moment/moment,712,1259
google/guava,371,1131
soimort/you-get,570,354
jgthms/bulma,602,351
ReactiveX/RxJava,3126,642
swisskyrepo/PayloadsAllTheThings,457,86
obsproject/obs-studio,3671,1508
scrapy/scrapy,1945,848
caddyserver/caddy,1575,349
ocornut/imgui,300,639
localstack/localstack,3300,336
prakhar1989/awesome-courses,194,55
jekyll/jekyll,3075,1177
NARKOZ/hacker-scripts,63,48
Solido/awesome-flutter,419,439
excalidraw/excalidraw,2907,726
wasabeef/awesome-android-ui,90,125
alacritty/alacritty,1540,438
git/git,3,1139
danielmiessler/SecLists,487,124
fffaraz/awesome-cpp,552,148
prettier/prettier,7164,1133
yt-dlp/yt-dlp,1349,369
juliangarnier/anime,72,64
Eugeny/tabby,1351,2087
minimaxir/big-list-of-naughty-strings,90,33
nuxt/nuxt,2861,677
serverless/serverless,4424,784
